experiment,arm,traffic,occupancy,seed,scenario_base,A2_timers_started,A2_attempts,A2_assigned,A2_cancelled,A2_out_of_range,A2_ignored,A2_assigned_uniq,A2_churn_ratio,A2_vehicles_with_slot,A2_success_rate_pct,A2_cancellation_rate_pct,A2_oor_rate_pct,A2_active_period_s,A2_n_timer,A5b_double_rate_pct,A5b_n_double,A5b_n_slots,A5b_overlap_rate_pct,A5b_overlap_n_slots,A5b_handover_n_slots,A5b_overlap_rate_pct_d005,A5b_overlap_n_slots_d005,A5b_overlap_rate_pct_d010,A5b_overlap_n_slots_d010,A5b_overlap_rate_pct_d025,A5b_overlap_n_slots_d025,A5b_overlap_rate_pct_d050,A5b_overlap_n_slots_d050,A5b_overlap_rate_pct_d100,A5b_overlap_n_slots_d100,A5_jain,A6_p50_ms,A6_p95_ms,A6_n,A4_mean,A4_max,A4_n_slots,A3_p50_ms,A3_p95_ms,C1_entered,C1_parked,C1_park_rate,A1_p50_ms,A1_mean_ms,B6_active_vehicles_avg,B6_active_vehicles_max,B6_isolation_frac,B3_slots_observed_avg,B7_vehicles_entered_bridge,B7_vehicles_parked_bridge,B7_park_rate_pct_bridge,B7_park_rate_divergence_pct,B8_slot_not_found_warn_n,B8_slot_not_found_warn_rate_pct,D1_cp_n_vehicles,D1_cp_tx_bytes_total,D1_cp_rx_bytes_total,D1_cp_tx_bytes_per_vehicle_mean,D1_cp_rx_bytes_per_vehicle_mean,nr_drops,nr_sim_t_reached,nr_tx,nr_rx_ok,nr_rx_ko,nr_plr_pct,nr_avg_rx_per_tx
combination_caos_routes_parking_occupied_30_seed1,leaderless,caos,30,1,combination_caos_routes_parking_occupied_30,907.0,786.0,786.0,0.0,0.0,100.0,786.0,1.0,230.0,86.66,0.0,0.0,0.0,907,9.17,65,709,2.96,21,44,1.13,8,1.69,12,2.12,15,2.68,19,2.96,21,0.5007586810621535,552762.823,3600324.2915999987,55.0,1.14520202020202,4,792,1369.0,2193.75,256,230,89.84,1374.848927114121,1454.2260659001531,21.93,28,0.0,2.65,255,230,90.2,0.36,1,0.13,254,4162546,21354587,16387.98,84073.18,0,92.1018,119663,709562,1901004,72.82,5.93
combination_caos_routes_parking_occupied_30_seed2,leaderless,caos,30,2,combination_caos_routes_parking_occupied_30,1086.0,979.0,979.0,0.0,0.0,156.0,979.0,1.0,228.0,90.15,0.0,0.0,0.0,1086,10.82,92,850,3.53,30,62,0.35,3,1.41,12,2.71,23,3.53,30,3.53,30,0.5123837978912652,1966657.618,5011490.6646,53.0,1.1986754966887416,6,906,1420.0,2132.3,255,226,88.63,1436.0698928197926,1494.4724384964709,25.27,30,0.0,2.66,253,226,89.33,0.7,7,0.72,253,5919478,34183098,23397.15,135111.06,0,92.1018,157385,704611,2097465,74.854,4.477
combination_caos_routes_parking_occupied_30_seed3,leaderless,caos,30,3,combination_caos_routes_parking_occupied_30,999.0,913.0,913.0,0.0,0.0,169.0,913.0,1.0,230.0,91.39,0.0,0.0,0.0,999,12.33,99,803,2.62,21,78,0.12,1,0.62,5,1.62,13,2.24,18,2.62,21,0.4903548969663456,803897.9084999997,4712927.909600001,34.0,1.143020594965675,3,874,1411.0,1971.6,255,230,90.2,1421.739000239752,1461.4727680221758,21.52,28,0.0,2.71,253,230,90.91,0.71,0,0.0,252,5262935,24142049,20884.66,95801.78,0,92.1018,142443,581749,1898335,76.543,4.084
combination_caos_routes_parking_occupied_30_seed4,leaderless,caos,30,4,combination_caos_routes_parking_occupied_30,966.0,891.0,891.0,0.0,0.0,122.0,891.0,1.0,227.0,92.24,0.0,0.0,0.0,966,11.24,87,774,3.1,24,63,0.78,6,0.9,7,1.94,15,2.84,22,3.1,24,0.4961374844308844,1807660.625,5129984.7312,57.0,1.152744630071599,5,838,1352.0,2080.5,255,227,89.02,1362.4041331585,1434.1005424626364,22.98,28,0.0,2.76,253,227,89.72,0.7,1,0.11,253,4968610,24724062,19638.77,97723.57,0,92.1018,137832,594176,1873270,75.919,4.311
combination_caos_routes_parking_occupied_30_seed5,leaderless,caos,30,5,combination_caos_routes_parking_occupied_30,1060.0,941.0,941.0,2.0,0.0,105.0,941.0,1.0,228.0,88.77,0.19,0.0,0.0,1060,15.24,123,807,2.11,17,106,0.87,7,0.99,8,1.36,11,1.73,14,2.11,17,0.5086691023564149,916907.4400000004,3769972.98905,52.0,1.2197928653624857,3,869,1427.0,2167.0,255,228,89.41,1428.5478201714636,1489.2493688950026,24.39,30,0.0,2.8,253,228,90.12,0.71,1,0.11,253,5873757,28405302,23216.43,112273.92,0,92.1018,156525,714617,2183256,75.34,4.566
