experiment,arm,traffic,occupancy,seed,scenario_base,A2_timers_started,A2_attempts,A2_assigned,A2_cancelled,A2_out_of_range,A2_ignored,A2_assigned_uniq,A2_churn_ratio,A2_vehicles_with_slot,A2_success_rate_pct,A2_cancellation_rate_pct,A2_oor_rate_pct,A2_active_period_s,A2_n_timer,A5b_double_rate_pct,A5b_n_double,A5b_n_slots,A5b_overlap_rate_pct,A5b_overlap_n_slots,A5b_handover_n_slots,A5b_overlap_rate_pct_d005,A5b_overlap_n_slots_d005,A5b_overlap_rate_pct_d010,A5b_overlap_n_slots_d010,A5b_overlap_rate_pct_d025,A5b_overlap_n_slots_d025,A5b_overlap_rate_pct_d050,A5b_overlap_n_slots_d050,A5b_overlap_rate_pct_d100,A5b_overlap_n_slots_d100,A5c_overlap_rate_pct,A5c_overlap_n_slots,A5_jain,A4_mean,A4_max,A4_n_slots,A3_p50_ms,A3_p95_ms,C1_entered,C1_parked,C1_park_rate,A1_p50_ms,A1_mean_ms,B6_active_vehicles_avg,B6_active_vehicles_max,B6_isolation_frac,B3_slots_observed_avg,B7_vehicles_entered_bridge,B7_vehicles_parked_bridge,B7_park_rate_pct_bridge,B7_park_rate_divergence_pct,B8_slot_not_found_warn_n,B8_slot_not_found_warn_rate_pct,D1_cp_n_vehicles,D1_cp_tx_bytes_total,D1_cp_rx_bytes_total,D1_cp_tx_bytes_per_vehicle_mean,D1_cp_rx_bytes_per_vehicle_mean,D2_broker_vehicles_known_avg,D2_broker_vehicles_known_max,E1_rsu_coverage_pct,E1_rsu_n_windows_total,E1_rsu_n_windows_addressed,E1_rsu_addressed_frac_pct,nr_drops,nr_sim_t_reached,nr_tx,nr_rx_ok,nr_rx_ko,nr_plr_pct,nr_avg_rx_per_tx
combination_caos_routes_parking_occupied_30_seed1,centralized,caos,30,1,combination_caos_routes_parking_occupied_30,2148.0,636.0,613.0,225.0,0.0,6.0,613.0,1.0,435.0,28.54,10.47,0.0,0.0,2148,10.16,56,551,0.54,3,53,0.0,0,0.0,0,0.0,0,0.18,1,0.54,3,0.0,0,0.7817070727309157,2.0614203454894438,10,1042,26858.0,46071.59999999998,450,434,96.44,1131.8521829624974,1864.606930132121,10.73,16,0.0,2.95,448,435,97.1,0.66,2,0.33,448,2773586,1094509,6191.04,2443.1,7.52,15,29.76,1799,1084,60.26,0,180.0,13070,47119,203378,81.19,3.605
combination_caos_routes_parking_occupied_30_seed2,centralized,caos,30,2,combination_caos_routes_parking_occupied_30,2092.0,635.0,607.0,253.0,0.0,2.0,607.0,1.0,437.0,29.02,12.09,0.0,0.0,2092,8.89,48,540,1.11,6,42,0.0,0,0.0,0,0.0,0,0.0,0,1.11,6,0.0,0,0.7299850416555222,2.092,12,1000,26698.0,48139.79999999998,450,437,97.11,1112.7870707301622,1880.8466819484947,10.87,15,0.0,2.66,448,437,97.54,0.43,1,0.16,448,2797511,1125126,6244.44,2511.44,7.43,13,31.66,1799,1041,57.87,0,180.0,12580,77325,258102,76.947,6.147
combination_caos_routes_parking_occupied_30_seed3,centralized,caos,30,3,combination_caos_routes_parking_occupied_30,2246.0,635.0,617.0,193.0,0.0,10.0,617.0,1.0,433.0,27.47,8.59,0.0,0.0,2246,9.75,54,554,0.36,2,52,0.0,0,0.0,0,0.0,0,0.0,0,0.36,2,0.0,0,0.7870988150791567,2.087360594795539,10,1076,26371.0,43702.19999999994,450,433,96.22,1123.5764818844968,1822.8450582701432,9.93,16,0.0,2.77,448,433,96.65,0.43,2,0.32,448,2791228,1069520,6230.42,2387.32,6.69,15,29.66,1799,1034,57.48,0,180.0,12855,52068,194985,78.924,4.05
combination_caos_routes_parking_occupied_30_seed4,centralized,caos,30,4,combination_caos_routes_parking_occupied_30,2113.0,641.0,621.0,241.0,0.0,11.0,621.0,1.0,434.0,29.39,11.41,0.0,0.0,2113,11.21,61,544,0.74,4,57,0.0,0,0.0,0,0.0,0,0.18,1,0.74,4,0.0,0,0.7733452852209696,2.100397614314115,11,1006,26839.0,48576.0,450,434,96.44,1127.9593558932677,1951.092531556343,10.91,17,0.0,2.8,448,434,96.88,0.44,0,0.0,448,2809881,990402,6272.06,2210.72,7.65,14,27.92,1799,1043,57.98,0,180.0,12590,66447,253659,79.242,5.278
combination_caos_routes_parking_occupied_30_seed5,centralized,caos,30,5,combination_caos_routes_parking_occupied_30,2075.0,633.0,604.0,218.0,0.0,28.0,604.0,1.0,436.0,29.11,10.51,0.0,0.0,2075,9.76,52,533,0.19,1,51,0.0,0,0.0,0,0.0,0,0.0,0,0.19,1,0.0,0,0.7704732458141146,2.044334975369458,12,1015,26760.5,45650.4,450,436,96.89,1128.4786499951372,1968.2159217629464,11.49,16,0.0,2.72,448,436,97.32,0.43,0,0.0,448,3155941,1185848,7044.51,2646.98,8.12,15,33.38,1799,1102,61.26,0,180.0,13298,80952,293002,78.352,6.088
